week,away,home,away_score,home_score,model_away,model_home,spread,total,winner_correct,ats_correct,ou_correct
12,BUF,HOU,19,23,33.7,34,3.5,46.5,true,,
12,PIT,CHI,28,31,22.8,26.5,-2.5,44.5,true,,
12,MIN,GB,6,23,30.1,31.3,-3.5,45.5,true,,
12,SEA,TEN,30,24,21.6,17.1,1.5,44.5,true,,
12,IND,KC,20,23,23,32.1,-9.5,45.5,true,,
12,NE,CIN,26,20,12.3,27.5,-4.5,47.5,false,,
12,NYJ,BAL,10,23,23.1,37.1,-11.5,44.5,true,,
12,NYG,DET,27,34,16.6,33.5,-8.5,45.5,true,,
12,CLE,LV,24,10,15.6,18.9,-3.5,41.5,false,,
12,JAX,ARI,27,24,18.1,20.5,-3,47.5,false,,
12,ATL,NO,24,10,26.2,25.3,1.5,43.5,true,,
12,PHI,DAL,21,24,31.2,31,5.5,46.5,false,,
12,TB,LAR,7,34,25.8,30.1,-2.5,47.5,true,,
12,CAR,SF,9,20,17.1,28.1,-7,46.5,true,,
13,GB,DET,31,24,28.3,36.2,-2.5,48.5,false,,
13,KC,DAL,28,31,31.9,31.3,5.5,47.5,false,,
13,CIN,BAL,32,14,29.1,33.6,-5.5,49.5,false,,
13,CHI,PHI,24,15,23.3,31.8,-7,46.5,false,,
13,JAX,TEN,25,3,16.5,16.3,1.5,45.5,true,,
13,HOU,IND,20,16,28,23.7,1.5,44.5,true,,
13,NO,MIA,17,21,21.6,29.2,-6,44.5,true,,
13,ATL,NYJ,24,27,28.9,23.9,1.5,43.5,false,,
13,ARI,TB,17,20,20.4,25.9,-3.5,48.5,true,,
13,LAR,CAR,28,31,23.1,18.4,3.5,45.5,false,,
13,SF,CLE,26,8,30.7,23.2,6,42.5,true,,
13,MIN,SEA,0,26,28.4,28.4,-1.5,43.5,true,,
13,LV,LAC,14,31,16.1,27.3,-6.5,44.5,true,,
13,BUF,PIT,26,7,35.9,28.5,4.5,46.5,true,,
13,DEN,WAS,27,26,22.5,28.7,-2.5,46.5,false,,
13,NYG,NE,15,33,13.6,14,-3,42.5,true,,
14,DAL,DET,30,44,27.6,36.9,-6,48.5,true,,
14,WAS,MIN,0,31,25.8,31.2,1.5,47.5,true,,
14,MIA,NYJ,34,10,29.3,22.7,1.5,43.5,true,,
14,SEA,ATL,37,9,24.9,28.1,-1.5,45.5,false,,
14,PIT,BAL,27,22,25.3,37.2,-8.5,46.5,false,,
14,NO,TB,24,20,23.1,27,-9.5,45.5,false,,
14,IND,JAX,19,36,19.1,21,-3,46.5,true,,
14,TEN,CLE,31,29,16.8,18,-1.5,41.5,false,,
14,CIN,BUF,34,39,29.8,34.9,-5.5,49.5,true,,
14,DEN,LV,24,17,20.4,19.4,3.5,43.5,true,,
14,CHI,GB,21,28,22.4,29.4,-3.5,46.5,true,,
14,LAR,ARI,45,17,25.5,23.3,1.5,47.5,true,,
14,HOU,KC,20,10,31,33.3,-6.5,45.5,false,,
14,PHI,LAC,19,22,30.8,31.9,2.5,45.5,true,,
15,ATL,TB,29,28,27.2,27.6,-5.5,47.5,false,,
15,ARI,HOU,20,40,20.1,30,-2.5,45.5,true,,
15,CLE,CHI,3,31,17.9,25.3,-7,42.5,true,,
15,LAC,KC,16,13,29.7,33.9,-4.5,45.5,false,,
15,BAL,CIN,24,0,31.1,31.6,2.5,49.5,false,,
15,BUF,NE,35,31,31.3,18.5,4.5,46.5,true,,
15,WAS,NYG,29,21,22.5,17.6,4.5,45.5,true,,
15,LV,PHI,0,31,16.9,29.4,-10.5,44.5,true,,
15,NYJ,JAX,20,48,19.3,24.3,-4.5,43.5,true,,
15,TEN,SF,24,37,17.8,29,-7.5,45.5,true,,
15,IND,SEA,16,18,19.9,26.1,-3.5,44.5,true,,
15,DET,LAR,34,41,34,30.3,1.5,48.5,false,,
15,GB,DEN,26,34,29.2,26.5,-1.5,44.5,false,,
15,CAR,NO,17,20,14.5,21.1,1.5,43.5,true,,
15,MIN,DAL,34,26,30.8,30.6,2.5,45.5,true,,
15,MIA,PIT,15,28,29.4,25,-3,44.5,false,,
16,LAR,SEA,37,38,25.9,28.1,1.5,44.5,true,,
16,PHI,WAS,29,18,29.1,28.7,1.5,47.5,true,,
16,GB,CHI,16,22,26.9,24.9,3,46.5,false,,
16,LAC,DAL,34,17,29.1,30.2,2.5,46.5,false,,
16,KC,TEN,9,26,27.5,20.1,7,44.5,false,,
16,NYJ,NO,6,29,20.8,27.3,-1.5,41.5,true,,
16,MIN,NYG,16,13,27.4,19.7,2.5,42.5,true,,
16,TB,CAR,20,23,21,18,3.5,47.5,false,,
16,BUF,CLE,23,20,34.7,23.6,8.5,43.5,true,,
16,CIN,MIA,45,21,26.3,28.4,1.5,50.5,false,,
