player_display_name,player_name,position,recent_team,season,games,data_source,receiving_yards,receptions,targets,receiving_tds,receiving_epa,target_share,air_yards_share,wopr,catchRate,aDOT,yacPerRec,rushing_yards,carries,rushing_tds,rushing_epa,ypc,passing_yards,attempts,completions,passing_tds,passing_interceptions,passing_epa
Tony Jones,T.Jones,RB,ARI,2025,1,reg_2024_baseline,0,0,0,0,,0.0,0.0,0.0,,,,55,4,1,2.86425752664218,13.75,0,0,0,0,0,
Jonathan Ward,J.Ward,RB,PIT,2025,4,reg_2024_baseline,0,0,0,0,,0.0,0.0,0.0,,,,22,5,0,0.204633340588771,4.4,0,0,0,0,0,
Patrick Taylor,P.Taylor,RB,SF,2025,7,reg_2024_baseline,25,3,11,0,-10.1569419174921,0.0214424951267057,0.008613074204947,0.0381928946335214,0.2727272727272727,,,183,39,1,1.19286832962837,4.6923076923076925,0,0,0,0,0,
Dan Chisena,D.Chisena,WR,CAR,2025,4,reg_2024_baseline,37,3,4,0,2.03996112314053,0.0077220077220077,0.0067204301075268,0.0162873126582804,0.75,,,0,0,0,,,0,0,0,0,0,
J.J. Taylor,J.Taylor,RB,HOU,2025,3,reg_2024_baseline,0,2,3,0,-2.49336225399748,0.0054844606946983,-0.0012894906511927,0.0073240475862125,0.6666666666666666,,,44,10,0,-0.0250057432567701,4.4,0,0,0,0,0,
Kristian Wilkerson,K.Wilkerson,WR,LV,2025,1,reg_2024_baseline,18,2,3,1,2.86149290617323,0.0050675675675675,0.0035914702581369,0.0101153805320472,0.6666666666666666,,,0,0,0,,,0,0,0,0,0,
Zack Moss,Z.Moss,RB,CIN,2025,8,reg_2024_baseline,187,23,27,1,12.6665442464291,0.0429936305732484,0.0006501950585175,0.0649455824008349,0.8518518518518519,,,242,74,2,-19.9914885412394,3.27027027027027,0,0,0,0,0,
Collin Johnson,C.Johnson,WR,CHI,2025,6,reg_2024_baseline,6,1,2,0,-0.318918340955861,0.0038022813688212,0.0035288928098809,0.0081736470201485,0.5,,,0,0,0,,,0,0,0,0,0,
Brandon Aiyuk,B.Aiyuk,WR,SF,2025,7,reg_2024_baseline,374,25,47,0,12.8143973824765,0.0916179337231969,0.122791519434629,0.223380964189036,0.5319148936170213,,,0,0,0,,,0,0,0,0,0,
Laviska Shenault Jr.,L.Shenault,WR,SEA,2025,10,reg_2024_baseline,36,5,5,0,2.91564205021132,0.0087873462214411,-0.002430724355858,0.0114795122830611,1.0,,,1,1,0,-0.503968426026404,1.0,0,0,0,0,0,
